Name Organisation/Gruppen;Koordinaten;Ort (Stadt);Webseite;Kontakt (email);Kraftwerke;Besonderheit;News;kontaktiert; Kontaktpersonen;;
;;;;;;;[Unterseite];;;;
Greenpeace;;;;;;;;ja;apeters@greenpeace.de;karsten.smid@greenpeace.de;gmarini@greenpeace.de
BUND;;;;;;;;ja;juliane.dickel@bund.net;thorben.becker@bund.net;
Urgewald;;;;;;;;ja;katrin@urgewald.de;sebastian@urgewald.de;
ClientEarth;;;;;;;;ja;iwestphal@clientearth.org;;
Deutsche Umwelthilfe;;;;;;;;ja;zerger@duh.de;nicklas@duh.de;ahmels@duh.de
Umweltinstitut München;48.138380, 11.592604;München ;https://www.umweltinstitut.org;energie@umweltinstitut.org;"Heizkraftwerk Nord (München)
alle Kohlekraftwerke in kommunaler Hand (""Klimawende von unten"")";"Das Umweltinstitut koordiniert die Kampagne ""Klimawende von unten"": www.klimawende.org ";[link];ja;fb@umweltinstitut.org;pb@umweltinstitut.org;
Grüne Liga;;;;;;;;ja;umweltgruppe@kein-tagebau.de ;;
BürgerBegehren Klimaschutz e.V.;52.513400, 13.363005;Berlin;https://buerger-begehren-klimaschutz.de;info@buerger-begehren-klimaschutz.de;"Kohlekraftwerk Lünen
Kohlekraftwerk Krefeld
Berliner Kohlekraftwerke
Braunkohlekraftwerk Lippendorf
Heizkraftwerk Kassel
Heizkraftwerk Köln-Merkenich
Großkraftwerk Mannheim";"
2014 gründete BBK das Bündnis „Kohleausstieg Berlin“das sich seit 2014 gemeinsam für den Kohleausstieg in und um Berlin engagiert.
2017-2019 Kampagne und Petition „Rettet unser Wasser –  Neue Tagebaue ausschließen“
Unterstützung der Gründungn der Bündnisse „Leipzig kohlefrei“, „Kassel kohlefrei“,  „Klimawende Köln“, „Heidelberg kohlefrei“ im Rahmen der Kampagne „Klimawende von unten“. 
";[link];ja;haeublein@buerger-begehren-klimaschutz.de;info@buerger-begehren-klimaschutz.de;
Robin Wood;;;;;;;;;energie@robinwood.de;;
[350.org];;;;;;;;;kate@350.org;;
;;;;;;;;;;;
BUND Baden-Württemberg;48.785301, 9.187098;Stuttgart;https://www.bund-bawue.de;fritz.mielert@bund.net;Großkraftwerk Mannheim;;"[link]
[https://www.bund-bawue.de/themen/mensch-umwelt/klima-und-energie/klimaschutz/kohle-ausstieg/]";ja;fritz.mielert@bund.net;;
BUND Brandenburg (Ortsgruppe Spree-Neiße);52.405793, 13.090942;Potsdam;"www.bund-brandenburg.de
https://www.bund-brandenburg.de/braunkohle-klima/
";bund.brandenburg@bund.net;"Jänschwalde 
Schwarze Pumpe ";Mit Demonstrationen, juristischen Mitteln und Petitionen gehen wir gegen die immense Klima- und Umweltzerstörung durch die Braunkohleverstromung in der Lausitz vor. Schwerpunkte liegen dabei auf der Verhinderung des neuen Tagebaus Welzow-Süd II, der insolvenzfesten Sicherung der Rekultivierungsmittel vom Bergbaukonzern und der Wasserverschmutzung durch den Kohleabbau.;[link];ja;michaela.kruse@bund.net;;
BUND Brandenburg (Ortsgruppe Welzow);51.580368, 14.172888;Welzow;"https://www.bund-brandenburg.de
https://www.bund-brandenburg.de/braunkohle-klima/
";bund.brandenburg@bund.net;"Jänschwalde 
Schwarze Pumpe ";Mit Demonstrationen, juristischen Mitteln und Petitionen gehen wir gegen die immense Klima- und Umweltzerstörung durch die Braunkohleverstromung in der Lausitz vor. Schwerpunkte liegen dabei auf der Verhinderung des neuen Tagebaus Welzow-Süd II, der insolvenzfesten Sicherung der Rekultivierungsmittel vom Bergbaukonzern und der Wasserverschmutzung durch den Kohleabbau.;[link];ja;michaela.kruse@bund.net;;
BUND Brandenburg (Ortsgruppe Cottbus);51.768156, 14.347871;Cottbus;"https://www.bund-brandenburg.de
https://www.bund-brandenburg.de/braunkohle-klima/
";bund.brandenburg@bund.net;"Jänschwalde 
Schwarze Pumpe ";Mit Demonstrationen, juristischen Mitteln und Petitionen gehen wir gegen die immense Klima- und Umweltzerstörung durch die Braunkohleverstromung in der Lausitz vor. Schwerpunkte liegen dabei auf der Verhinderung des neuen Tagebaus Welzow-Süd II, der insolvenzfesten Sicherung der Rekultivierungsmittel vom Bergbaukonzern und der Wasserverschmutzung durch den Kohleabbau.;[link];ja;michaela.kruse@bund.net;;
BUND Bremen;;;;;;;;ja;katja.muchow@bund-bremen.net ;;
BUND Hamburg;;;;;;;;ja;manfred.braasch@bund-hamburg.de;;
BUND NRW e.V.;51.226111, 6.761972;Düsseldorf;"www.bund-nrw.de/trianel_luenen 
www.bund-nrw.de/datteln
www.bund-nrw.de/braunkohle



";" dirk.jansen@bund.net
thomas.kraemerkaemper@bund.net
";"Datteln 4
Lünen
Neurath
Niederaußem
Weisweiler
";"Der BUND NRW e.V. führt seit Jahrzehnten einen erfolgreichen Kampf gegen Kohlekraftwerke in NRW. Zahlreiche Neubauvorhaben wurden verhindert (Düsseldorf, Köln, Krefeld, Herne). Mit politischer Arbeit, Aktionen und Demonstrationen und auf juristischem Weg kämpft der BUND für einen schnellen Kohleausstieg. Mit Erfolg: Durch den gerichtlich erzwungenen Rodungsstopp im Hambacher Wald wurde verhindert, dass weitere 1,1 Milliarden Tonnen Braunkohle genutzt werden; die Steinkohlenkraftwerke Datteln 4 und Lünen wurden und werden erfolgreich beklagt; auch aktuell verfügen sie über keine rechtskräftigen Genehmigungen.";[link];ja;dirk.jansen@bund.net;thomas.kraemerkaemper@bund.net;
BUND Landesverband Sachsen e.V.;50.851413, 12.907064;Chemnitz;https://www.bund-sachsen.de;info@bund-sachsen.de;"Boxberg
Chemnitz 2 Nord
Lippendorf";Engagement gegen die Kohleverstromung und für die Energiewende in Sachsen ;[link];ja;david.greve@bund-sachsen.de;;
;;;;;;;;;;;
Greenpeace Bad Kreuznach;49.853659, 7.871134;Bad Kreuznach;https://www.badkreuznach.greenpeace.de/;info@badkreuznach.greenpeace.de ;Stadtwerke Bad Kreuznach; Wir fordern die Stadtwerke auf, auf Kohlestrom zu verzichten;[link];;;;
Greenpeace Cottbus;51.744405, 14.348896;Cottbus;https://www.cottbus.greenpeace.de;info@cottbus.greenpeace.de;"Jänschwalde
Schwarze Pumpe
Boxberg
Turow PL
";"Das Kraftwerk Turow in Polen im Dreiländereck liegt unmittelbar an der deutschen Grenze ohne positive UVP
";[link];;;;
 Greenpeace Oberlausitz;50.896971, 14.807609;Zittau;https://www.oberlausitz.greenpeace.de;info@oberlausitz.greenpeace.de;Turow PL;"Das Kraftwerk Turow in Polen im Dreiländereck liegt unmittelbar an der deutschen Grenze ohne positive UVP
";;;;;
Greenpeace Rostock;54.141715, 12.080716;Rostock;www.rostock.greenpeace.de;info@rostock.greenpeace.de;Rostock;Wir fordern, den Fernwärmeliefervertrag des SKK Rostock mit Stadtwerken Rostock auslaufen zu lassen;[link];;;;
