title,status,latitude,longitude,geometry,kind,date,capacity,emissions,age,owner,fuel,maps,retirement
Altbach/Deizisau 1+2,Open,48.7191,9.3713,Point,plant,15/1/2020,855 MW,1.3,35,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.7191000,9.3713000&zoom=16&basemap=satellite",0
Niederaussem,Open,50.9709,6.6666,Point,plant,15/1/2020,3676 MW,25.9,55,RWE,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=50.9709000,6.6666000&zoom=16&basemap=satellite",0
Bergkamen,Open,51.6372,7.6191,Point,plant,15/1/2020,780 MW,1.6,39,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.6372000,7.6191000&zoom=16&basemap=satellite",0
Berlin-Moabit,Retiring,52.5374,13.3449,Point,plant,15/1/2020,100 MW,0.4,30,Vattenfall,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.5374000,13.3449000&zoom=16&basemap=satellite",2030
Berlin-Klingenberg,Retired,52.49,13.496,Point,plant,15/1/2020,0 MW,0,Retired at the age of 31,Vattenfall,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=52.4900000,13.4960000&zoom=16&basemap=satellite",2017
Berlin-Reuter,Retired,52.5309,13.2456,Point,plant,15/1/2020,0 MW,0.2,Retired at the age of 50,Vattenfall,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.5309000,13.2456000&zoom=16&basemap=satellite",2019
Berlin-Reuter West,Retiring,52.5352,13.2437,Point,plant,15/1/2020,600 MW,2.2,33,Vattenfall,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.5352000,13.2437000&zoom=16&basemap=satellite",2030
Bexbach,Open,49.3649,7.2355,Point,plant,15/1/2020,780 MW,0,37,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.3649000,7.2355000&zoom=16&basemap=satellite",0
Lippendorf,Open,51.1832,12.3717,Point,plant,15/1/2020,1867 MW,11.7,21,EnBW/EPH,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.1832000,12.3717000&zoom=16&basemap=satellite",0
Boxberg,Open,51.4188,14.5743,Point,plant,15/1/2020,2582 MW,19,41,EPH,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.4188000,14.5743000&zoom=16&basemap=satellite",0
Braunschweig,Open,52.278,10.5147,Point,plant,15/1/2020,78 MW,0.4,36,Veolia,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.2780000,10.5147000&zoom=16&basemap=satellite",0
Bremen-Hafen,Open,53.1239,8.7273,Point,plant,15/1/2020,326 MW,1.2,41,swb AG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.1239000,8.7273000&zoom=16&basemap=satellite",0
Bremen-Farge,Open,53.2021,8.5162,Point,plant,15/1/2020,380 MW,1.2,51,Riverstone,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.2021000,8.5162000&zoom=16&basemap=satellite",0
Bremen-Hastedt,Open,53.0593,8.873,Point,plant,15/1/2020,129 MW,0.7,31,swb AG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.0593000,8.8730000&zoom=16&basemap=satellite",0
Chemnitz North II,Open,50.8566,12.923,Point,plant,15/1/2020,167 MW,1,32,City of Chemnitz,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=50.8566000,12.9230000&zoom=16&basemap=satellite",0
Cottbus,Retiring,51.7597,14.3696,Point,plant,15/1/2020,82 MW,0.3,21,Stadtwerke Cottbus GmbH,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=51.7597000,14.3696000&zoom=16&basemap=satellite",2022
