Dorf;Umsiedlungen;Umsiedlungsstatus;Beschreibung;Koordinaten;;;;;
Keyenberg;1.600 Menschen in den 5 Garzweiler-Dörfern (4);Laufend: 2016-2023;;51.082479, 6.412421;;;;;
Kuckum;1.600 Menschen in den 5 Garzweiler-Dörfern (4);Laufend: 2016-2027;;51.083582, 6.394084;;;;;
Oberwestrich ;1.600 Menschen in den 5 Garzweiler-Dörfern (4);Laufend: 2016-2027;;51.078986, 6.400838;;;;;
Unterwestrich;1.600 Menschen in den 5 Garzweiler-Dörfern (4);Laufend: 2016-2027;;51.080463, 6.395682;;;;;
Berverath;1.600 Menschen in den 5 Garzweiler-Dörfern (4);Laufend: 2016-2028;;51.073735, 6.389517;;;;;
Eggerather Hof, Roitzer Hof und Weyer Hof;1.600 Menschen in den 5 Garzweiler-Dörfern (4);bis ca. 2030;;51.060221, 6.393345;;;;;
Lützerath;55;;;51.058758, 6.426875;;;;;
Manheim ;600 Menschen (4);Laufend: 2012-2022;;50.883035, 6.597069;;;;;
Morschenich;;"Laufend: 2013-2024; Ort kann erhalten werden";;50.866766, 6.541377;;;;;
Mühlrose;200 Menschen (4);2020 - 2024 ;;51.491671, 14.512860;;;;;
